KorEXO,,24K102690,24K102690,17A100567,19M102825,19M102825,17E102802,17E102802,18K105960,24K102690,24K102690,17E102807,19J105425,19J105425,18K105960,18F101551,18F101551,18F101551,18F101551,18F101551
Date (MM/DD/YYYY),Time (HH:mm:ss),Chlorophyll RFU,Chlorophyll ug/L,Depth m,fDOM QSU,fDOM RFU,ODO % sat,ODO mg/L,SpCond µS/cm,TAL PC RFU,TAL PC ug/L,Turbidity FNU,pH,pH mV,Temp °C,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Barometer mmHg
1/26/2026,8:38:32,1.58,6.35,0.48,120.87,41.11,66.2,7.59,3363.5,0.34,0.35,27.64,7.22,-33.1,8.838,38.21884,-121.905,2.9,5.7,769.9
1/26/2026,8:40:58,8.16,32.66,0.214,80.43,27.36,92.1,10.64,7596.8,1.44,1.45,10.14,8.34,-94,7.878,38.21905,-121.9049,3.4,5.7,770
1/26/2026,8:53:13,1.55,6.23,0.865,120.81,41.09,65.7,7.53,3347.9,0.34,0.35,27.91,7.21,-32.6,8.884,38.21878,-121.9049,0.1,5.69,770.1
1/26/2026,9:09:09,1.41,5.69,0.904,115.51,39.29,68.9,7.85,3155.4,0.28,0.29,29.71,7.18,-31.3,9.151,38.21122,-121.9065,-1,5.69,770
1/26/2026,9:19:01,0.79,3.2,0.927,76.84,26.14,77.2,8.78,1563.9,0.26,0.28,24.82,7.36,-41.1,9.483,38.20234,-121.9081,-1.7,5.69,770
1/26/2026,9:30:55,0.47,1.91,0.525,42.77,14.55,85.4,9.63,572.4,0.23,0.24,18.05,7.56,-51.9,9.942,38.19836,-121.9154,-1.7,5.69,769.9
1/26/2026,9:35:29,2.16,8.69,0.371,131.34,44.67,60.7,6.93,4387.4,0.4,0.41,29.87,6.89,-15.4,8.91,38.19839,-121.9151,-3.4,5.69,769.8
1/26/2026,9:51:11,0.46,1.88,0.384,51.37,17.47,84.5,9.55,776.9,0.23,0.24,21.07,7.59,-53.9,9.865,38.2028,-121.9216,-1,5.69,770
1/26/2026,9:54:36,0.58,2.35,0.672,56.78,19.31,82.5,9.34,923.9,0.24,0.25,21.75,7.48,-47.6,9.766,38.2052,-121.9229,-1.7,5.69,769.9
1/26/2026,9:56:23,0.53,2.18,0.205,57.08,19.41,81.7,9.25,1082.4,0.36,0.37,22.77,7.38,-41.9,9.756,38.20661,-121.9229,-1.4,5.7,770
1/26/2026,9:57:15,0.68,2.77,0.262,69.32,23.58,76.3,8.66,1375.3,0.24,0.25,25.06,7.31,-38.2,9.581,38.20696,-121.9234,-2.8,5.69,769.9
1/26/2026,10:00:17,0.78,3.14,0.278,78.33,26.64,72.3,8.21,1745.4,0.25,0.26,26.54,7.24,-34.3,9.495,38.20845,-121.9252,-1.6,5.69,770
1/26/2026,10:05:04,0.88,3.56,0.231,87.36,29.72,68.1,7.72,2171.8,0.28,0.29,26.99,7.16,-30,9.549,38.21093,-121.9235,-0.8,5.69,769.8
1/26/2026,10:06:35,0.96,3.89,0.22,90.5,30.78,67.2,7.61,2509.9,0.27,0.28,26.96,7.14,-28.8,9.57,38.2121,-121.9238,-3.4,5.69,770
1/26/2026,10:07:46,1.23,4.97,0.291,97.77,33.25,64.5,7.3,2857.9,0.29,0.3,25.07,7.09,-26.3,9.487,38.21286,-121.924,-0.6,5.69,770
1/26/2026,10:10:23,1.29,5.22,0.32,104.02,35.38,61.8,6.99,2957.2,0.29,0.3,25.7,7.06,-24.4,9.506,38.21358,-121.9258,-0.4,5.69,770
1/26/2026,10:11:36,1.32,5.33,0.305,101.18,34.42,61.3,6.95,2805.4,0.29,0.3,25.58,7.07,-25,9.454,38.21382,-121.9267,-0.1,5.7,770
1/26/2026,10:12:42,1.77,7.13,0.324,105.05,35.73,61.3,6.91,3019.6,0.36,0.37,25.75,7.04,-23.8,9.604,38.21439,-121.9273,-0.6,5.7,770
1/26/2026,10:13:36,2.09,8.39,0.644,116.55,39.64,58.9,6.7,3394.6,0.33,0.34,24.46,6.99,-20.6,9.169,38.21461,-121.9274,-0.8,5.69,770
1/26/2026,10:18:58,13.56,54.26,0.432,146.75,49.92,34.1,3.93,5545,1.61,1.63,73.71,6.77,-8.8,8.287,38.21488,-121.9276,-1.9,5.7,770
1/26/2026,10:21:43,1.14,4.59,0.453,100.71,34.26,79.4,9.06,2969,0.28,0.29,21.98,7.22,-33.2,9.11,38.21486,-121.9271,-0.7,5.69,769.9
1/26/2026,11:39:29,0.41,1.66,0.871,36.5,12.41,91.4,10.24,441.8,0.19,0.2,16.97,7.74,-61.9,10.25,38.13868,-121.9092,-3,5.69,769.5
1/26/2026,11:44:44,26.65,106.62,0.794,162.89,55.41,47.3,5.13,9401.1,3.71,3.72,37.7,6.7,-4.8,10.252,38.13829,-121.9093,-0.2,5.69,769.1
1/26/2026,13:06:16,8.38,33.57,0.7,80.1,27.24,54.8,6.07,3280.7,0.97,0.99,34.71,6.9,-15.6,10.34,38.1261,-121.8978,-3,5.69,768.3
